76, 73.2, [23.75 22.75 21.75 22.0 22.5 22.75 22.25 23.0 25.5 22.5 23.0 22.0 23.5 23.5 23.5 23.5 26.0 21.5 22.0 21.5 22.75 22.25 23.25 24.25 27.5 24.75 23.0 21.75 21.5 22.0 23.25 23.5 25.0 24.5 27.0 22.0 21.25 22.25 22.5 23.0 23.5 23.75 24.5 21.5 21.0 21.25 22.0 23.0 21.0 21.5 21.0 21.0 20.5 21.0 21.5 22.0 20.75 20.75 20.5 20.25 20.75 21.25 22.25 22.75 ]
76, 73.2, [23.75 22.75 22.25 22.25 22.75 22.25 22.75 22.75 26.0 22.5 22.5 22.25 23.25 23.0 23.75 23.5 26.25 22.25 22.0 21.5 22.75 22.5 23.5 24.25 28.0 24.5 23.0 21.75 21.5 22.0 23.0 23.75 25.5 24.75 26.75 21.5 21.0 22.5 22.75 22.5 23.5 23.75 24.5 21.75 21.5 21.0 22.25 22.75 20.75 21.5 20.75 20.5 20.5 21.0 21.75 22.0 20.75 20.25 20.75 20.5 21.0 20.75 21.5 22.75 ]
2, 73.2, [23.75 22.75 22.5 22.25 22.75 22.25 23.0 22.5 26.0 22.5 22.75 22.25 23.75 23.5 23.25 24.0 26.5 22.25 22.25 21.5 22.75 22.5 23.5 24.25 28.0 24.75 23.0 22.0 22.0 22.25 23.25 23.25 25.5 24.0 27.25 21.5 21.25 21.75 22.5 22.75 23.25 23.5 24.0 21.25 21.25 21.75 22.0 22.25 21.25 21.25 21.5 21.0 20.5 21.0 21.75 22.0 20.75 20.25 20.75 20.5 21.0 20.75 21.5 22.75 ]
1, 73.2, [24.0 22.75 22.0 22.25 22.5 22.0 22.75 23.5 26.25 22.5 22.5 22.0 23.5 23.75 23.5 23.5 26.0 22.25 22.0 22.0 22.5 22.75 23.5 24.75 27.75 25.0 23.0 22.0 21.5 22.25 22.75 23.75 26.0 24.25 27.0 21.75 21.5 21.75 22.75 22.75 23.5 23.5 24.25 21.5 21.5 21.5 22.5 22.75 21.0 21.5 21.25 21.0 21.25 21.0 21.75 22.5 20.75 20.75 20.75 21.0 21.25 20.75 22.0 22.75 ]
1, 73.2, [23.75 22.25 22.5 22.75 22.25 22.5 22.75 22.75 25.5 22.5 22.5 22.25 23.75 23.25 23.25 23.75 26.0 22.0 22.0 22.0 23.0 22.5 23.5 24.25 28.0 24.5 23.0 21.75 21.75 22.25 23.0 23.75 25.5 24.75 27.25 22.0 21.25 22.0 22.25 22.75 24.0 23.75 24.25 21.5 21.25 21.75 22.5 23.0 20.75 21.25 21.25 21.0 20.75 21.25 21.5 22.5 21.0 20.75 21.25 20.5 21.0 21.0 21.75 22.25 ]
2, 73.2, [23.75 22.75 22.25 22.25 22.25 22.25 23.0 23.0 25.5 22.5 22.75 22.25 23.5 23.25 23.25 23.25 26.25 22.25 22.0 22.0 22.75 22.5 23.5 24.25 27.75 24.25 22.75 21.5 21.75 22.25 23.25 23.0 25.5 24.5 26.5 21.75 21.0 22.25 22.5 23.0 23.75 24.0 24.25 21.0 21.25 21.25 22.5 22.5 20.75 21.25 20.75 21.0 20.5 21.5 21.25 22.25 20.5 21.25 20.75 20.75 20.75 20.75 21.5 22.5 ]
2, 73.2, [23.5 22.75 22.25 22.5 22.25 22.75 23.25 22.75 26.0 22.75 23.0 22.5 23.75 23.25 24.0 24.0 26.0 22.0 21.75 22.0 22.5 22.5 23.5 24.25 28.0 24.25 23.0 22.25 21.5 22.25 23.0 23.5 25.5 24.5 27.0 21.75 21.25 21.5 22.5 23.0 23.5 23.5 24.5 21.25 21.5 21.5 22.5 23.0 21.25 21.0 20.75 21.0 21.0 21.0 21.75 22.25 20.5 20.75 20.75 20.5 20.5 21.0 21.75 22.75 ]
2, 73.2, [23.75 22.5 22.0 22.25 23.0 22.25 22.75 23.0 25.5 23.0 23.0 22.5 23.25 23.5 23.75 23.75 26.5 22.0 22.0 21.75 22.5 22.75 23.25 24.5 27.75 24.0 23.0 22.0 22.0 22.0 22.75 23.5 25.5 24.5 27.0 21.75 21.5 22.0 22.5 23.25 23.0 23.75 24.5 21.5 21.25 21.25 22.25 22.5 21.25 21.0 20.75 21.0 20.75 21.0 22.0 22.25 21.25 20.75 20.25 20.75 20.5 20.75 21.25 23.0 ]
1, 73.2, [23.75 23.0 21.75 22.75 22.75 22.25 22.75 22.75 25.75 23.0 22.75 22.25 23.25 23.25 23.5 23.5 26.25 22.25 21.5 21.75 22.5 22.25 23.5 24.5 27.75 25.0 23.0 22.0 21.75 22.5 23.25 23.5 25.25 24.75 27.25 21.75 21.25 22.25 22.25 23.0 23.75 24.0 24.25 21.25 21.25 21.5 22.0 23.0 20.25 21.5 21.0 21.0 20.5 21.0 21.0 22.25 21.25 21.25 20.75 20.5 21.0 20.75 21.5 22.75 ]
1, 73.2, [23.75 23.0 22.0 22.5 22.0 22.25 23.25 22.75 26.0 23.25 22.5 22.0 23.25 23.5 23.25 24.0 26.25 22.25 21.75 22.0 22.5 22.5 23.25 24.75 27.25 24.5 23.0 21.75 21.5 22.25 23.25 23.25 25.75 24.75 27.0 21.75 21.25 22.0 22.5 23.5 23.0 23.25 23.5 21.25 21.5 21.5 21.75 23.0 20.75 21.25 20.75 21.0 20.75 21.0 21.5 22.0 20.0 21.0 20.5 20.75 21.0 21.0 21.75 22.5 ]
1, 73.2, [24.0 22.75 21.5 22.5 22.25 22.25 22.75 23.25 26.0 22.5 22.75 22.5 23.5 23.5 23.25 23.5 26.0 22.25 21.5 21.75 22.25 22.5 23.5 24.25 27.75 24.5 23.25 22.0 21.75 22.0 23.0 23.25 25.5 24.5 26.75 21.5 21.25 22.25 22.75 22.5 22.75 23.5 23.75 21.0 21.0 21.5 22.0 22.75 20.25 21.5 21.0 21.25 21.0 21.0 21.25 22.5 20.75 21.0 20.75 20.5 21.0 20.75 21.75 22.0 ]
1, 73.2, [23.0 22.75 21.75 22.25 22.5 22.75 22.75 23.0 25.5 22.25 23.25 22.0 23.75 23.5 23.5 23.75 26.0 22.25 22.0 22.25 22.75 22.75 23.5 24.25 27.75 24.75 23.5 22.0 22.0 22.0 22.75 23.25 25.5 24.5 27.25 22.25 21.25 22.5 22.75 22.5 22.75 23.25 23.75 22.0 21.0 21.5 22.25 22.5 20.75 21.25 21.25 21.0 21.0 21.25 21.5 22.5 20.5 20.75 20.5 20.5 20.75 20.75 21.5 22.5 ]
1, 73.2, [24.25 22.5 22.0 22.25 22.0 22.0 22.5 22.75 26.25 22.75 22.75 22.25 23.75 23.5 23.25 23.5 26.0 21.75 22.0 22.0 22.75 22.5 23.5 24.25 27.75 25.25 23.5 22.25 21.75 22.25 23.25 23.25 25.75 24.5 27.0 22.0 21.0 22.0 22.75 23.25 23.25 23.25 23.75 21.5 21.75 21.5 22.0 23.0 20.25 21.5 21.5 21.0 20.75 21.75 21.0 22.75 21.0 20.75 20.75 20.75 20.75 20.75 22.0 22.75 ]
2, 73.2, [23.75 22.75 22.0 22.25 22.5 22.5 23.25 23.25 26.0 22.25 23.0 22.25 23.25 23.75 24.25 23.75 26.5 22.0 21.75 22.0 22.5 22.25 23.75 24.0 27.75 24.25 23.25 21.75 21.5 22.0 22.75 23.75 25.0 24.5 27.0 22.25 21.25 21.75 22.5 23.0 23.25 23.25 24.0 21.25 21.75 21.5 22.5 22.25 20.75 21.25 20.75 21.0 21.0 20.75 21.75 22.25 20.75 20.5 20.5 20.25 21.0 20.75 21.75 22.5 ]
2, 73.2, [23.5 22.5 22.0 22.75 22.0 22.75 22.75 23.0 26.0 22.75 22.75 22.0 23.75 23.0 24.0 23.5 26.25 22.0 21.75 21.75 22.5 22.5 23.25 24.25 27.75 24.5 23.5 22.25 21.75 22.25 23.0 23.25 25.25 24.75 27.5 21.75 21.25 21.5 22.5 22.5 23.0 23.0 24.0 21.0 21.25 21.5 22.0 22.5 20.75 21.0 20.75 20.5 21.25 21.25 21.75 22.25 21.0 20.75 21.0 20.25 21.0 20.75 22.25 22.0 ]
2, 73.2, [23.5 22.75 22.0 22.25 21.75 22.25 23.25 23.0 25.75 22.75 22.5 22.25 23.5 23.5 23.5 23.75 26.25 22.25 22.0 22.0 22.5 22.75 23.5 24.25 27.75 24.0 23.25 21.75 22.0 22.5 22.75 24.0 25.25 25.25 27.25 22.25 21.0 22.25 22.5 23.0 22.5 23.5 24.0 21.0 21.25 21.75 22.5 23.0 21.0 21.25 21.25 21.0 20.75 21.0 21.75 22.25 20.5 20.75 20.5 21.0 20.75 21.0 21.5 22.25 ]
2, 73.2, [23.75 22.5 22.25 22.25 22.5 22.25 22.75 23.0 26.25 22.75 22.75 22.5 23.5 24.0 23.25 24.0 26.0 22.25 21.5 22.25 22.5 22.25 23.5 24.25 27.25 24.0 23.25 21.75 21.5 21.75 23.0 23.0 25.5 25.5 27.25 21.75 21.5 22.0 22.5 22.75 22.75 23.75 24.25 21.5 21.25 22.0 22.25 23.0 20.25 21.5 21.0 21.0 20.5 21.0 21.5 22.5 21.0 20.5 20.75 20.75 21.0 20.75 21.75 22.25 ]
2, 73.2, [24.0 22.75 22.5 22.75 22.5 22.5 23.25 23.0 26.25 22.75 22.5 22.25 23.75 23.75 23.75 23.5 26.5 22.25 22.0 21.75 22.75 23.0 23.75 24.5 27.5 24.25 23.0 22.0 21.75 22.0 23.25 23.5 25.75 25.25 27.5 21.5 21.25 22.0 22.75 23.0 23.0 23.75 24.25 21.25 21.75 21.75 22.25 23.0 21.0 21.25 21.0 21.25 21.5 21.75 21.75 22.75 21.25 21.25 21.0 21.0 21.25 21.25 22.0 22.5 ]
3, 73.2, [23.25 23.0 22.25 22.25 22.5 22.5 23.0 22.5 25.75 23.0 22.75 22.25 23.25 23.5 23.5 23.5 26.25 22.5 22.0 22.0 22.5 22.25 23.5 24.25 27.75 24.25 23.25 22.25 21.75 22.25 23.0 23.75 25.5 25.0 27.25 22.0 21.75 22.0 22.5 23.25 22.75 23.75 24.25 21.25 21.25 21.75 22.25 22.75 20.75 21.5 21.25 21.25 21.0 21.5 21.5 22.25 20.75 21.25 21.0 20.25 21.25 21.0 22.0 22.25 ]
1, 73.2, [23.75 22.75 22.75 22.5 22.5 22.5 23.25 23.0 26.25 23.0 23.25 22.5 23.5 23.25 23.5 23.5 26.25 21.75 21.75 22.25 22.5 22.5 23.25 24.75 27.75 24.5 23.5 21.75 22.0 22.25 23.25 23.75 25.75 25.0 27.5 21.75 21.75 21.5 22.75 23.5 23.25 24.0 24.25 21.5 21.5 22.0 22.25 23.0 20.75 21.25 21.25 21.0 21.0 21.25 21.75 22.5 20.5 21.25 20.75 21.0 21.0 21.0 21.5 22.25 ]
1, 73.2, [24.0 22.25 22.75 22.5 23.0 22.5 23.0 23.0 26.0 22.75 23.0 22.0 23.25 23.0 23.25 23.5 26.75 22.25 22.25 22.0 23.0 22.75 24.0 24.5 27.75 24.25 23.75 22.25 21.75 22.25 23.0 23.75 25.75 25.0 27.25 22.0 21.0 22.0 22.75 23.0 22.75 24.0 24.5 21.25 21.5 21.5 22.25 23.0 21.0 21.5 21.0 21.0 21.0 21.25 22.0 22.75 21.0 21.0 20.75 20.25 20.75 21.0 21.5 23.0 ]
1, 73.2, [24.0 22.5 22.25 22.0 22.75 22.25 22.75 23.0 26.25 23.0 23.0 22.25 23.5 23.5 23.75 23.75 26.5 22.0 22.0 22.5 22.75 22.25 23.75 24.0 27.75 24.75 23.25 22.0 22.0 22.25 23.0 23.75 25.25 25.0 27.25 21.75 21.25 21.75 22.5 23.25 23.0 24.0 24.25 21.5 21.5 21.5 22.25 23.0 21.0 21.0 21.25 21.75 20.75 21.0 21.25 22.5 21.25 21.25 20.5 20.75 21.75 21.0 22.0 22.75 ]
1, 73.2, [24.5 22.25 22.5 22.5 22.75 22.75 23.25 23.0 26.25 22.75 22.75 22.5 23.75 24.0 23.75 23.75 26.25 22.25 22.0 22.0 23.0 22.75 23.5 24.5 27.75 24.75 23.5 22.0 22.0 22.75 23.25 23.5 25.5 25.25 27.5 22.0 21.5 22.25 22.75 23.25 22.75 23.75 24.5 21.5 21.75 22.0 22.0 23.0 21.25 21.75 21.0 21.0 21.5 21.5 22.0 22.5 21.25 21.25 21.0 21.0 21.5 21.5 22.0 22.0 ]
1, 73.2, [23.5 22.5 22.5 22.5 22.5 22.5 23.5 23.25 25.5 22.75 22.75 22.25 24.0 23.75 23.25 24.0 26.5 22.5 21.75 22.25 22.5 22.75 23.25 24.75 27.75 24.5 23.25 22.25 21.75 22.5 23.25 23.5 25.5 25.25 27.25 22.0 21.25 22.25 22.75 23.5 22.75 24.0 24.5 22.0 21.75 21.75 22.25 23.0 20.75 21.5 21.0 21.5 21.0 21.75 21.75 21.75 21.0 21.5 20.5 21.25 21.0 20.75 21.75 22.75 ]
1, 73.2, [24.25 22.75 22.25 22.25 22.5 22.25 23.25 23.25 26.0 22.5 22.75 22.5 23.5 23.5 23.25 24.0 26.5 22.25 22.0 22.0 23.0 22.5 23.5 24.0 28.0 24.75 23.0 22.25 21.75 22.5 23.75 23.5 25.5 25.0 27.75 21.75 21.25 22.5 22.75 24.0 23.0 24.0 24.25 21.75 22.25 21.5 22.25 23.25 21.0 22.25 21.25 21.0 20.75 21.5 21.5 22.75 20.0 21.0 20.5 21.5 21.25 21.75 21.75 22.75 ]
1, 73.2, [23.75 22.5 22.5 22.75 22.5 22.25 23.0 23.25 25.75 23.0 22.75 22.5 23.75 23.5 23.5 23.75 26.25 22.75 22.0 22.0 22.75 22.5 24.0 24.25 28.0 25.0 23.25 22.25 21.75 22.5 23.5 24.0 25.5 24.75 27.5 22.5 21.5 22.5 22.25 22.75 23.25 23.5 24.25 21.75 21.75 21.75 22.5 23.0 20.25 21.5 21.25 21.5 20.75 21.5 21.75 22.5 20.75 21.25 21.0 20.75 21.0 21.25 21.5 23.25 ]
2, 73.2, [24.0 22.5 22.75 22.75 22.75 22.5 23.25 23.0 26.5 23.0 23.0 22.75 23.5 24.0 23.5 23.75 26.25 22.0 22.0 22.25 22.75 22.75 23.75 24.25 27.75 25.0 23.25 22.25 22.0 23.0 23.25 24.0 25.75 25.0 27.5 22.25 21.5 22.5 22.75 23.0 23.25 23.75 24.5 21.75 21.25 22.0 22.5 23.0 21.25 21.75 21.25 21.5 21.5 21.5 22.0 22.75 21.0 21.0 21.25 21.0 20.75 21.25 22.0 22.75 ]
2, 73.2, [24.5 22.75 22.25 23.0 22.25 22.75 23.25 23.0 26.5 23.0 23.0 22.5 24.0 23.75 23.75 24.0 26.75 22.25 22.25 22.0 23.0 22.75 23.75 24.5 28.25 25.0 23.25 22.0 21.75 22.5 23.5 23.75 25.25 25.0 27.25 22.0 21.75 22.5 22.5 23.0 23.25 23.75 24.25 21.25 21.5 21.75 22.5 22.75 20.5 21.25 21.25 21.25 20.75 21.0 21.5 22.25 20.5 20.75 20.75 21.25 21.0 21.5 22.25 22.75 ]
2, 73.2, [23.75 22.75 21.75 22.75 22.75 22.5 23.0 23.75 26.0 23.25 23.0 22.5 24.25 23.75 23.75 24.0 26.25 22.25 22.25 22.0 22.75 22.5 23.75 24.25 27.5 25.0 23.0 22.5 22.25 22.25 23.25 24.0 26.0 24.5 27.0 22.5 21.5 22.25 22.75 23.5 22.75 23.75 24.25 21.75 21.5 21.25 22.5 23.0 20.75 21.75 21.0 21.25 21.25 21.5 22.25 22.5 21.5 21.25 20.75 21.0 21.0 21.5 22.25 22.5 ]
2, 73.2, [24.0 22.5 22.25 22.25 22.75 22.75 23.5 23.0 26.0 23.0 23.0 23.0 23.5 24.0 24.0 24.0 26.5 22.0 22.25 22.0 22.25 23.0 23.75 25.0 28.25 24.75 23.5 22.25 22.0 22.5 23.25 23.25 25.5 25.0 27.25 22.0 21.75 22.25 22.25 23.5 23.0 23.5 24.25 21.75 21.5 21.75 22.5 23.0 20.75 21.5 21.0 20.75 21.25 21.5 21.5 22.75 21.0 20.5 20.75 20.75 21.0 21.5 21.75 22.5 ]
76, 73.2, [23.75 23.0 22.25 22.5 22.5 22.0 23.0 22.75 26.0 22.75 23.0 22.75 23.75 23.75 23.25 23.5 26.25 22.5 22.0 22.0 23.25 23.25 23.25 24.5 28.25 24.75 23.0 22.0 22.0 22.5 23.25 23.75 25.75 24.75 27.5 22.25 21.75 22.25 23.0 23.0 23.0 24.0 24.25 21.75 21.75 21.25 22.25 22.75 20.75 21.5 21.5 21.75 21.0 21.25 21.5 23.25 21.0 21.0 20.5 20.75 21.0 21.5 22.0 22.75 ]
76, 73.3, [24.25 23.0 22.5 22.0 22.5 22.5 22.75 23.25 26.0 23.0 23.25 22.5 24.0 23.75 23.75 23.75 26.0 22.75 22.25 21.75 23.0 22.75 23.75 24.25 27.5 24.75 23.25 22.25 21.75 22.5 23.0 23.5 25.0 25.0 27.5 22.25 21.0 22.25 22.5 23.0 23.0 23.5 24.5 21.0 21.5 21.75 22.25 22.75 20.75 21.5 21.0 21.5 21.25 21.25 21.75 22.0 20.75 20.5 20.5 21.0 21.0 21.0 21.5 22.75 ]
1, 73.3, [23.75 23.0 22.25 22.75 22.25 22.25 23.25 23.0 26.25 23.25 23.0 22.25 23.75 23.75 24.0 24.0 26.5 22.0 22.0 22.0 23.0 23.0 23.75 24.25 27.75 24.25 23.25 22.25 22.25 22.0 23.25 23.5 25.25 25.0 28.0 22.0 21.75 22.25 23.0 22.5 22.75 23.75 24.25 21.5 21.5 22.0 22.25 22.5 20.75 22.0 21.0 21.5 21.25 21.25 21.75 22.0 20.75 20.5 20.5 21.0 21.0 21.0 21.5 22.75 ]
